county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Washington,2013,NA,3.5586900718,27.4,29.9,8.9,89.461077844,25.2,11.5,40513,54827,18.137049264,23.597976105,1.821460447,3.5586900718,4,23.3,58.264974631
Westmoreland,2013,NA,5.1834206983,29,30.7,14.2,86.713286713,20.5,12.9,43175,17595,21.091219096,19.297061667,5.7290174735,5.1834206983,1,NA,59.611719236999996
Wise,2013,NA,4.9730743393,35.3,38.1,9.9,82.468443198,34.1,10.8,36286,41565,14.449657163,19.784029554,2.4110328865,4.9730743393,3,39.2,65.766313283
Wythe,2013,NA,1.668570576,28.9,25.9,8.5,85.370051635,28.3,10.8,39879,29204,18.261197096,20.654396728,6.8467358187,1.668570576,5,46.2,61.084406176
York,2013,NA,3.8917327907,28,22.7,13.9,86.677115987,9.4,10.1,80178,66134,12.433846433,20.466374469,7.6383690554,3.8917327907,37,35.7,67.099779098
Alexandria City,2013,NA,0,20.1,18.2,19.9,81.161473088,10.4,7,82070,144301,9.3076278058,25.339462304,11.356054907,0,83,23,65.35290989020001
Bedford City,2013,NA,4.5178910865,29.5,25.8,NA,86.816720257,5.1,12.7,36552,6181,21.889661867,17.483593322,0,4.5178910865,58,NA,60.626744810999995
Bristol City,2013,NA,15.49828828,27.2,26.6,1.7,88.979591837,NA,11,29612,17750,18.816901408,19.802620935,16.83029453,15.49828828,66,NA,61.38047765699999
Buena Vista City,2013,NA,40.610127099,28.6,25.1,0,75.757575758,NA,10.3,32855,6636,16.320072333,20.236619718,15.060240964,40.610127099,30,NA,63.443307949
Charlottesville City,2013,NA,1.3043492072,26.6,26.3,14.3,83.333333333,17.1,8.5,41826,43511,9.4114132059,20.991561181,25.253104984,1.3043492072,72,NA,69.59702561309999
Chesapeake City,2013,NA,3.6860494835,27.5,21.9,17.5,84.840512989,17,9.3,65699,225050,10.718506998,14.635379559,8.5181930671,3.6860494835,21,37.8,74.646113443
Colonial Heights City,2013,NA,5.5274364274,27.6,23.5,NA,83.002832861,NA,10.6,48299,17440,20.074541284,25.379693401,23.010987747,5.5274364274,NA,NA,54.54576531500001
Covington City,2013,NA,7.7918486458,28.1,26.4,NA,83.697478992,NA,11.4,35921,5939,19.009934332,22.339449541,16.733601071,7.7918486458,28,NA,58.650616127
Danville City,2013,NA,6.9894898145,30.3,30.1,11.4,89.398998331,25.2,12.4,31545,42852,19.158965743,20.693719481,23.315458149,6.9894898145,18,45,60.147314776
Emporia City,2013,NA,0.9794957964,32.9,29.7,NA,87.931034483,NA,13.4,32801,5871,17.475728155,21.665266499,33.67003367,0.9794957964,18,NA,60.859005346000004
Fairfax City,2013,NA,0,28.1,27,11.4,NA,6,9.5,87307,22549,13.48618564,24.867995231,57.461103253,0,98,NA,61.645819129
Falls Church City,2013,NA,0.0829295866,26.2,22.2,NA,81,3.9,9.8,117481,12751,10.210963846,20.315756796,32.010243278,0.0829295866,63,NA,69.473279358
Franklin City,2013,NA,22.089783738,32.4,31.6,6.5,76.706827309,17.8,12.1,30725,8588,17.640894271,24.876480276,11.592858799,22.089783738,12,NA,57.482625453
Fredericksburg City,2013,NA,6.255997575,29.2,25.3,12.6,86.434108527,NA,9.9,50522,25691,9.5714452532,23.870517,16.371971185,6.255997575,45,NA,66.55803774680001
Galax City,2013,NA,1.4729500168,29,26,NA,85.82278481,NA,10.5,31740,6983,21.008162681,20.707640808,28.252578048,1.4729500168,20,NA,58.284196511
Hampton City,2013,NA,5.9387865253,36.8,27.5,15.6,82.026476578,18.1,11.7,48656,136401,12.609878227,22.010597165,9.4663870442,5.9387865253,46,33.1,65.379524608
Harrisonburg City,2013,NA,3.7787330157,29.1,24.1,NA,86.836935167,4.8,7.4,36370,49973,8.4685730294,22.515963959,6.1168314813,3.7787330157,31,NA,69.01546301159999
Hopewell City,2013,NA,11.759096512,33.3,29.5,13.5,83.333333333,34.2,11.6,36792,22580,14.791851196,14.980089248,8.8296322458,11.759096512,23,NA,70.228059556
Lexington City,2013,NA,0.080572472,28.2,24.3,NA,88.831168831,NA,10,40105,6995,16.397426733,24.822852081,14.14427157,0.080572472,24,NA,58.779721185999996
Lynchburg City,2013,NA,12.432986334,31.2,29.8,17.3,86.129032258,22.3,11.4,36657,76504,14.064624072,8.7634024303,17.169422579,12.432986334,10,26.5,77.1719734977
Manassas City,2013,NA,1.1010456181,28.7,24.6,7.2,NA,11.7,9.6,65590,39300,7.0152671756,19.537540521,13.070528572,1.1010456181,27,65.9,73.4471923034
Manassas Park City,2013,NA,4.7600099536,30.1,24.9,NA,90.410958904,NA,8.1,71976,15332,5.1330550483,28.050890585,0,4.7600099536,64,NA,66.8160543667
Martinsville City,2013,NA,10.685683295,32.4,29.3,NA,84.110535406,NA,13.6,30227,13559,18.732944907,28.867727628,21.810250818,10.685683295,56,NA,52.399327465
Newport News City,2013,NA,3.5159489889,33.7,29.1,17.8,82.801664355,24.4,11,47969,179611,10.833968966,21.734641198,9.9657841411,3.5159489889,41,32.1,67.431389836
Norfolk City,2013,NA,4.4832131404,33,26.1,19,80.984434161,26.2,10,42201,242628,9.4127635722,24.208428214,8.2333326472,4.4832131404,47,44.7,66.3788082138
Norton City,2013,NA,6.6863175845,27.8,25,NA,90.434782609,NA,10.2,32624,4054,14.183522447,20.884646455,25.10670349,6.6863175845,36,NA,64.931831098
Petersburg City,2013,NA,12.716690281,37.6,33.1,6.4,81.962481962,25.7,15.1,32615,32326,15.470519087,21.978293044,6.1438269898,12.716690281,43,NA,62.551187869
Poquoson City,2013,NA,4.059940603,28.1,23.3,NA,86.448598131,NA,10.4,81040,12000,16.175,21.462599765,8.23723229,4.059940603,11,NA,62.362400235
Portsmouth City,2013,NA,3.3930910016,39.2,29.2,14.1,81.237113402,23.4,12.3,41910,95684,13.10772961,22.9,5.2286488126,3.3930910016,48,44.5,63.992270389999995
Radford City,2013,NA,6.560752116,27.6,21.7,NA,91.304347826,12.8,7.5,33848,16414,8.6937979773,23.78140546,12.159533074,6.560752116,31,NA,67.5247965627
Richmond City,2013,NA,7.8709097653,31.3,28.2,17.5,82.29390681,19.5,11.6,38368,205533,10.935470216,12.48933837,5.3879574253,7.8709097653,42,43,76.575191414
Roanoke City,2013,NA,10.718452708,34,27.3,14.7,85.60371517,27,11.7,38482,96714,14.34228757,19.167724891,14.45444784,10.718452708,61,47,66.489987539
Salem City,2013,NA,11.114261722,27.6,23.4,12.9,86.842105263,22.1,10.3,44499,24961,17.539361404,21.768306553,12.064666613,11.114261722,41,NA,60.69233204299999
Staunton City,2013,NA,2.291878884,28.3,25.8,NA,86.106870229,NA,11,41006,23769,19.996634272,19.68671127,12.616173935,2.291878884,53,NA,60.316654458
Suffolk City,2013,NA,2.7774870876,32.1,26.6,16.4,86.563071298,18.4,11.7,61335,84930,11.82503238,19.163616475,3.5347346593,2.7774870876,17,47.2,69.011351145
Virginia Beach City,2013,NA,2.611465196,26.7,24.4,21.7,83.72983871,18.9,8.5,64107,442707,10.86949156,25.651713176,11.386357322,2.611465196,25,33.1,63.478795264
Waynesboro City,2013,NA,5.4682961998,28.4,26.5,NA,91.878172589,4,10.5,40342,21311,17.13199756,23.60816522,9.4944220271,5.4682961998,16,NA,59.259837219999994
Williamsburg City,2013,NA,0.7877286824,28.6,23.8,NA,87.248322148,3.8,9.6,46358,14444,12.953475492,23.494908733,7.0746374248,0.7877286824,48,NA,63.551615775
Winchester City,2013,NA,7.6692529436,29,25.3,NA,90.634005764,NA,10.2,42539,26587,14.040696581,10.50955414,22.852789945,7.6692529436,55,NA,75.44974927899999
Accomack,2014,36.153660596,1.6858734081,35.5,31,15.3,86.08,21.2,12.9,36957,33341,20.095378063,22.682227796,36.153660596,14.2,1.6858734081,40.8,57.222394141
Albemarle,2014,66.159442255,2.7320477917,27,20.8,13.7,89.51048951,12.4,10.7,70813,102251,15.396426441,21.244113854,66.159442255,9.4,2.7320477917,28,63.359459705
Alleghany,2014,100,4.1662967902,26,25,NA,83.87096774,24.6,10.3,44530,16230,22.569316081,21.151871375,100,10,4.1662967902,NA,56.278812544000004
Amelia,2014,8.4081954295,3.2853247778,32.7,27.3,NA,86.34361233,20,11.2,49714,12759,16.560859001,20.394331485,8.4081954295,11,3.2853247778,NA,63.04480951400001
Amherst,2014,75.659135165,7.5797788016,30.9,29.3,NA,87.00657895,16.4,12.9,43791,32384,17.693922925,21.592601301,75.659135165,11.5,7.5797788016,40,60.713475774
Appomattox,2014,52.020303212,0.7514278596,30.4,28,NA,88.62068966,24.9,12.4,43814,15128,18.118720254,20.578063241,52.020303212,13.1,0.7514278596,NA,61.30321650500001
Arlington,2014,99.981216316,0.0842677097,19.3,15.2,18.7,82.79192274,10.1,5.4,99255,221045,8.9045217037,21.959280804,99.981216316,9.8,0.0842677097,28.7,69.1361974923
Augusta,2014,59.483389831,2.9383926042,27.6,25.3,11.7,86.65377176,17.6,9.9,49773,73658,18.037416167,16.231988962,59.483389831,7.8,2.9383926042,48.2,65.730594871
Bath,2014,100,4.2052114449,27.8,26.4,NA,78.35820896,NA,11.5,44524,4652,23.45227859,20.486573081,100,7.9,4.2052114449,NA,56.061148329000005
Bedford County,2014,49.564622284,1.7778077116,25.8,29.8,16.6,88.80753138,19.2,9.6,56910,69590,17.998275614,16.616509028,49.564622284,7.9,1.7778077116,41.3,65.38521535800001
Bland,2014,99.765533411,13.818532252,28.2,24.3,NA,89.33333333,NA,11.5,42843,6738,18.818640546,21.162523351,99.765533411,8.2,13.818532252,NA,60.018836103
Botetourt,2014,76.37866538,2.9382626343,27.2,24.1,NA,84.73451327,14.3,10.4,60943,33154,18.199915546,17.453250223,76.37866538,6.2,2.9382626343,37.8,64.346834231
Brunswick,2014,14.282436618,4.5183405643,34.9,31.5,15.8,89.0625,29.6,13.5,34621,17010,17.760141093,21.279483622,14.282436618,21.7,4.5183405643,NA,60.960375285
Buchanan,2014,47.398124326,2.8574197893,29.4,25.4,NA,85.02994012,30.3,11.9,32848,23859,18.127331405,18.201058201,47.398124326,12.2,2.8574197893,NA,63.671610394
Buckingham,2014,20.523737315,4.373373055,30.9,29.2,NA,90.31141869,21.5,12.4,34415,17088,15.496254682,18.156670439,20.523737315,16.8,4.373373055,NA,66.347074879
Campbell,2014,40.800846067,6.2223022841,31.7,27.5,11.4,88.87015177,21.6,10.2,41193,55163,17.205373167,19.001638577,40.800846067,11.2,6.2223022841,30.7,63.792988255999994
Caroline,2014,32.961989841,1.0398248389,29.9,24.8,13,87.55458515,20.8,12,54336,28972,14.186110728,21.057592952,32.961989841,11.7,1.0398248389,NA,64.75629631999999
Carroll,2014,25.550895413,2.0595124687,31,28.5,12.8,86.85446009,33.3,11.9,32777,29851,20.692774111,23.712550048,25.550895413,12,2.0595124687,NA,55.594675841
Charles City,2014,26.805402426,0.5104751828,35.6,31,NA,86.95652174,NA,14.3,47828,7157,19.170043314,19.89883086,26.805402426,14,0.5104751828,NA,60.931125826
Charlotte,2014,5.9510567297,14.340142159000001,31.7,24.8,NA,86.34920635,26.1,12.8,32873,12404,19.55820703,16.599133715,5.9510567297,15.5,14.340142159000001,NA,63.842659254999994
Chesterfield,2014,69.842775649,6.1133806934,28.4,21.5,14.3,87.04994193,15.8,9.9,70371,323856,11.641902574,21.871976782,69.842775649,9.4,6.1133806934,37.5,66.486120644
Clarke,2014,55.835827277,0.4588095287,29.8,24.5,NA,89.79591837,NA,10.9,67922,14323,17.140263911,24.977459118,55.835827277,7.3,0.4588095287,NA,57.882276970999996
Craig,2014,96.512524085,4.161775486,30,24.3,NA,86.20689655,NA,10.1,38268,5213,19.950124688,22.048453536,96.512524085,6.6,4.161775486,NA,58.001421776
Culpeper,2014,32.405920024,0.8229752028,33,24.8,16.4,91.91176471,15.1,10,59609,47911,13.057544197,20.794168425,32.405920024,10,0.8229752028,43.7,66.148287378
Cumberland,2014,27.546756864,22.159452649,32.2,26.2,NA,85.03937008,23.4,13,36988,9849,18.083054117,25.349084761,27.546756864,13.9,22.159452649,NA,56.567861122
Dickenson,2014,55.662453625,0.1107701162,28.8,29.5,NA,86.46864686,31.7,11.9,35147,15690,17.456978967,21.880393949,55.662453625,12,0.1107701162,NA,60.66262708400001
Dinwiddie,2014,39.087889718,5.6246981958,32.4,27.1,17.8,84.5144357,28.2,12.6,51131,27994,15.256840752,20.605481198,39.087889718,12.7,5.6246981958,NA,64.13767805
Essex,2014,24.553851672,9.0114081449,29.3,27,NA,91.66666667,NA,13.2,42012,11233,19.033205733,20.847324427,24.553851672,14.1,9.0114081449,NA,60.119469839999994
Fairfax,2014,98.964247878,1.2806623188,22.2,16.9,20.3,85.38123971,11.1,7.8,106690,1118602,10.665098042,21.44574023,98.964247878,7.1,1.2806623188,29.2,67.889161728
Fauquier,2014,46.477922795,1.1046073669,27.9,20.3,16.3,88.58218319,16.7,10.3,82957,66542,13.828859968,23.833856904,46.477922795,6.9,1.1046073669,40.6,62.337283127999996
Floyd,2014,30.924798743,10.803409931,27.8,24,NA,91.18541033,27.3,11.3,42211,15390,19.038336582,24.285413724,30.924798743,9.5,10.803409931,NA,56.676249694
Fluvanna,2014,32.883110817,2.4206464148,30.1,22.3,18.2,92.43697479,NA,10,63307,25967,16.717372049,21.09811566,32.883110817,7.5,2.4206464148,NA,62.18451229099999
Franklin,2014,41.932726722,7.1014697777,29,25.5,8.8,90.5511811,21.5,11.7,43427,56411,19.395153428,22.124234605,41.932726722,10,7.1014697777,42.3,58.480611967
Frederick,2014,62.016474044,3.0701692377,29.3,26.5,14.6,89.35406699,21.7,9,64027,80317,13.891206096,20.026236018,62.016474044,7.7,3.0701692377,34.2,66.08255788599999
Giles,2014,67.522850862,4.0015007063,32.5,26,NA,85.3470437,22.8,12.8,44365,16928,19.263941399,24.276305141,67.522850862,10.2,4.0015007063,NA,56.459753459999995
Gloucester,2014,55.591730425,2.1917594321,31,24.7,19.9,88.04159445,19.3,12,57173,36886,16.073849157,20.788043478,55.591730425,7.9,2.1917594321,36.5,63.138107365
Goochland,2014,58.345996224,4.4504109734,26,23.8,13.9,88.85245902,13.5,11.2,81707,21347,17.796411674,21.032370005,58.345996224,7.2,4.4504109734,45.4,61.171218321
Grayson,2014,57.303804803,6.3218735514,31.8,29.6,NA,88.03986711,22.2,13.1,32611,15183,22.604228413,19.679580269,57.303804803,12.4,6.3218735514,NA,57.716191318
Greene,2014,43.80807477,0,29.9,22.5,NA,89.09090909,NA,9.7,59718,18771,14.51707421,18.23750247,43.80807477,7.4,0,NA,67.24542332
Greensville,2014,15.233194478,2.9122828498,34,29.7,NA,91.52542373,18.7,11.7,36996,11851,13.990380559,24.468595173,15.233194478,18.7,2.9122828498,NA,61.541024268
Halifax,2014,36.077922795,11.334753893,32.6,31.3,10.5,87.84933171,21.1,14.3,36203,35849,20.887611928,16.741203274,36.077922795,17.4,11.334753893,47,62.371184798
Hanover,2014,56.08183211,2.3865808852,26.6,22.4,16.6,88.76244666,17,9.1,74660,100668,14.351134422,21.359033725,56.08183211,7.1,2.3865808852,30.9,64.289831853
Henrico,2014,91.177936697,3.7041508468,27.9,23.8,18.4,85.93155894,17,9.4,58723,314932,12.971371598,23.565581913,91.177936697,12.5,3.7041508468,34.8,63.46304648899999
Henry,2014,53.930675334,6.6475610321,30.3,33.1,10.8,83.99487836,25.7,13.1,34232,52969,20.672468803,23.563181893,53.930675334,16.1,6.6475610321,35.1,55.764349304
Highland,2014,40.672124084,30.448063275,28,25.5,NA,88.4057971,NA,12.4,37501,2245,27.973273942,20.308104741,40.672124084,8.3,30.448063275,NA,51.71862131700001
Isle of Wight,2014,64.275588319,2.5642228003,31.7,27.3,14.4,87.47940692,13.3,13.4,64606,35399,16.144523857,13.363028953,64.275588319,10.6,2.5642228003,41.5,70.49244719000001
James City,2014,77.782088973,5.7636306742,26.5,20.7,9.4,86.60170524,9.2,10.6,78396,68967,21.939478301,21.77745134,77.782088973,8.5,5.7636306742,36.1,56.28307035899999
King and Queen,2014,4.4204463643,4.9369576291,33.9,29.2,NA,87.79069767,NA,12.4,45090,7046,19.358501277,20.782403178,4.4204463643,12.1,4.9369576291,NA,59.859095545
King George,2014,73.380257802,0,28.9,23.9,NA,86.75078864,NA,10.9,75861,24500,11.020408163,19.088844735,73.380257802,10.4,0,NA,69.890747102
King William,2014,56.931283339,2.1542317065,32,30.3,NA,88.68501529,19.8,10.3,62005,15981,13.509792879,26.546938776,56.931283339,9.3,2.1542317065,NA,59.94326834499999
Lancaster,2014,46.33482574,0.2467166396,31.7,31.5,18.6,89.95215311,NA,14,47769,11236,33.294766821,24.103623052,46.33482574,13.6,0.2467166396,NA,42.601610127
Lee,2014,30.624926721,0.0246469025,33,32.5,11.4,81.46341463,25.4,11.1,30606,25474,17.488419565,15.370238519,30.624926721,12.6,0.0246469025,NA,67.141341916
Loudoun,2014,85.440794593,0.517075565,22.5,20.9,19.2,83.53018373,9.7,7.3,118934,336898,7.3315959133,19.757399702,85.440794593,5.6,0.517075565,32,72.911004384699993
Louisa,2014,27.143848219,0.8106555892,34,28.9,14.7,89.01903367,27.7,11.2,54836,33430,16.087346695,29.750250818,27.143848219,10.6,0.8106555892,NA,54.162402486999994
Lunenburg,2014,24.252748955,0.0119526234,33.8,33,NA,92.15686275,21.4,13.4,33618,12588,18.660629171,21.283278492,24.252748955,16.4,0.0119526234,NA,60.056092337
Madison,2014,11.173730087,0.6410108407,33,24.8,NA,90.68100358,31.2,10.7,51094,13200,19.075757576,19.264378773,11.173730087,8.7,0.6410108407,NA,61.659863650999995
Mathews,2014,81.142793495,0,27.4,24.8,NA,94.71153846,24.7,13,57051,8884,27.071139127,21.696969697,81.142793495,8.2,0,NA,51.231891176000005
Mecklenburg,2014,47.874843401,4.2582815987,32.8,26.9,11,89.48655257,28.6,12.8,37435,31749,22.353459951,17.176947321,47.874843401,17.9,4.2582815987,NA,60.469592727999995
Middlesex,2014,70.398759011,0.3694374198,28.5,26.7,28.6,88.49206349,33.6,12.7,48066,10822,27.259286638,19.537623232,70.398759011,9.6,0.3694374198,NA,53.20309013000001
Montgomery,2014,71.69569455,2.3053095235,27,19.7,13.9,88.36104513,14.3,6.9,42307,95194,10.52272202,15.597856219,71.69569455,14.2,2.3053095235,29.7,73.879421761
Nelson,2014,40.838881491,1.8687942341,25.4,23.4,12.4,87.74509804,26.9,12.1,47234,14827,21.750859918,15.828728701,40.838881491,9.9,1.8687942341,NA,62.420411380999994
New Kent,2014,58.79863259,6.3054e-5,30,22.1,NA,88.01089918,32.2,10.6,68862,19169,13.589649956,18.924934242,58.79863259,7.7,6.3054e-5,NA,67.485415802
Northampton,2014,29.082250383,0.0947996166,29.8,33.9,16.6,91.07806691,22.9,15.1,32138,12226,23.629968919,21.289582138,29.082250383,16.7,0.0947996166,NA,55.08044894300001
Northumberland,2014,22.100567721,1.3902451722,29.6,26.1,NA,92.11711712,18.5,13.4,47143,12346,32.253361413,19.59757893,22.100567721,12.7,1.3902451722,NA,48.14905965700001
Nottoway,2014,56.563426481,21.499332148,36.1,28.5,23.2,88.4057971,20.4,11.7,36818,15830,17.656348705,15.988984286,56.563426481,16.1,21.499332148,NA,66.354667009
Orange,2014,44.846330755,4.348716818,32.6,26.4,17.5,89.47368421,18.5,11.8,58673,34246,18.82263622,20.277953253,44.846330755,10.7,4.348716818,40.4,60.89941052700001
Page,2014,37.837950254,0.6689725452,30.9,25.6,14.2,87.90983607,26.8,10.5,41300,23895,18.819836786,22.428896805,37.837950254,12.5,0.6689725452,NA,58.751266409
Patrick,2014,34.542996214,1.8789763804,29.2,26.2,12,91.19047619,19.7,12.2,33818,18451,23.023142377,20.724000837,34.542996214,12.1,1.8789763804,NA,56.252856786
Pittsylvania,2014,14.943469908,4.8512544947,30.9,28.5,9,88.48996832,22.9,12.6,42236,62807,18.789306924,18.20497534,14.943469908,12.8,4.8512544947,40.6,63.005717735999994
Powhatan,2014,67.674534693,2.103817196,29.2,26.5,22,88.02588997,25,10.2,73639,28123,14.081001316,20.215899502,67.674534693,7,2.103817196,NA,65.703099182
Prince Edward,2014,83.503081137,6.3671030034,33.8,28.7,NA,85.98726115,25.6,10.1,37636,23238,14.441862467,21.338406287,83.503081137,17.2,6.3671030034,NA,64.21973124600001
Prince George,2014,44.212736179,8.8729504514,36,28.6,17.5,77.99227799,25.2,12.6,62475,36941,11.261200292,17.183062226,44.212736179,11.4,8.8729504514,NA,71.555737482
Prince William,2014,86.136636136,3.0263895727,28.2,21.2,19,82.62726949,17.4,7.5,93011,430289,7.5242453328,21.991824802,86.136636136,8.4,3.0263895727,31.7,70.4839298652
Pulaski,2014,71.67928424,5.9162972514,27.4,25.7,14,87.39946381,30.8,11.2,42502,34736,19.377590972,28.218476419,71.67928424,11,5.9162972514,66.5,52.403932608999995
Rappahannock,2014,16.343415163,18.672896798,26.4,26,NA,83.23353293,NA,11.3,58276,7456,21.714055794,18.686665131,16.343415163,8.3,18.672896798,NA,59.599279075
Richmond,2014,43.343419062,2.4343975921,31.2,27.4,15.9,88.13559322,24.6,11.8,41190,9059,18.743790705,18.723175966,43.343419062,12.7,2.4343975921,NA,62.533033329000006
Roanoke,2014,86.839655322,2.9297208431,26.6,26,11.6,87.72200772,17.5,10.5,58550,92901,18.516485291,17.143172536,86.839655322,7.5,2.9297208431,42.1,64.34034217300001
Rockbridge,2014,71.874299547,6.357401248,27.9,29.6,17.3,90.75144509,18.2,12.9,46909,22394,22.684647673,21.000850368,71.874299547,9.7,6.357401248,48.1,56.314501959
Rockingham,2014,66.168723956,5.5060990794,29.8,22.1,11,87.74752475,12.5,9.7,51137,77391,16.91152718,18.536215058,66.168723956,8,5.5060990794,44.5,64.552257762
Russell,2014,44.755510953,2.9740184622,32,38.6,NA,86.1328125,24.9,12.5,35912,28445,17.560203902,22.830820121,44.755510953,12.7,2.9740184622,NA,59.608975977
Scott,2014,51.408724166,5.1532694654,29.7,32.8,NA,90.85714286,27.8,10.6,36566,22781,20.438084369,19.813675514,51.408724166,11.3,5.1532694654,NA,59.74824011700001
Shenandoah,2014,61.431667183,2.5602200526,30,25.6,14.8,87.70685579,20.6,11.9,48677,42583,19.449075922,18.92805408,61.431667183,10,2.5602200526,39.2,61.62286999800001
Smyth,2014,70.643939394,3.6725694026,31.4,24.5,NA,87.32394366,22.3,10.3,36235,31718,19.077495428,21.426390813,70.643939394,13.6,3.6725694026,39,59.49611375900001
Southampton,2014,1.5401184707,14.663404918,31.4,30,25.7,81.96078431,20.3,14,43846,18409,16.741811071,20.234567123,1.5401184707,15.8,14.663404918,NA,63.023621805999994
Spotsylvania,2014,74.989583078,5.1438139766,29.8,20.8,13.8,86.09510086,16.4,10,77298,125684,11.057891219,20.196642946,74.989583078,8.6,5.1438139766,51.5,68.745465835
Stafford,2014,53.429331348,2.9751055212,31.7,21.4,15.1,82.54344392,16.9,7.8,95927,134352,8.2477372871,26.410680755,53.429331348,7.7,2.9751055212,34.6,65.3415819579
Surry,2014,16.42108246,6.6365237136,33,27.6,NA,89.3442623,21.2,13.5,50425,6844,17.650496786,27.405621055,16.42108246,14.6,6.6365237136,NA,54.943882159
Sussex,2014,25.026888392,12.181243972,37.3,28.8,NA,93.62745098,NA,13.2,36901,11972,15.243902439,19.769140853,25.026888392,19.5,12.181243972,NA,64.98695670800001
Tazewell,2014,60.504015262,6.9251024016,30.8,34.4,10.1,84.492588370000007,21.1,12.2,34760,44268,17.888768411,16.546942867,60.504015262,11,6.9251024016,30,65.564288722
Warren,2014,66.030605456,1.5161638632,26,22.1,13.6,87.84246575,24.3,11.5,58632,38070,13.77725243,19.788560586,66.030605456,8.8,1.5161638632,35.3,66.434186984
Washington,2014,49.161746483,3.5586900718,29.4,29.7,NA,88.62343572,23.6,12.4,43155,55190,18.74977351,23.265038088,49.161746483,10.6,3.5586900718,41.8,57.985188402000006
Westmoreland,2014,58.124212215,5.1834206983,29,31.6,NA,90.20979021,16.9,12.8,45051,17524,22.272312257,19.264359485,58.124212215,12.5,5.1834206983,57.3,58.463328258000004
Wise,2014,67.499758757,4.9730743393,33.6,37.4,10.2,83.88888889,33,13.3,35800,40918,14.73190283,19.190824013,67.499758757,12.5,4.9730743393,55.6,66.07727315700001
Wythe,2014,46.782965623,1.668570576,28.8,29.1,NA,87.54208754,24.2,11.5,38533,29251,18.679703258,20.614399531,46.782965623,10.8,1.668570576,NA,60.70589721099999
York,2014,86.526946108,3.8917327907,28.2,22.2,12.7,83.72456964,7.5,9.3,75316,66146,13.266108306,20.34802229,86.526946108,7.8,3.8917327907,23.2,66.38586940399999
Alexandria City,2014,100,0,19.5,17,21.8,83.00561798,9.2,6.4,80942,146294,9.6039482139,24.628851329,100,12.3,0,32.4,65.7672004571
Bedford City,2014,94.117647059,4.5178910865,30.1,24.9,NA,87.24035608,NA,12.8,36579,5964,20.892018779,17.701341135,94.117647059,15.6,4.5178910865,NA,61.406640086
Bristol City,2014,70.41771797,15.49828828,29.3,25.6,NA,87.14859438,NA,11.4,31973,17662,19.120144944,20.120724346,70.41771797,15.4,15.49828828,NA,60.759130709999994
Buena Vista City,2014,89.834586466,40.610127099,29.1,24.5,NA,79.66101695,NA,10.1,36289,6707,16.60951245,19.884497792,89.834586466,14.3,40.610127099,NA,63.505989758
Charlottesville City,2014,99.96319724,1.3043492072,28.2,23.6,NA,92.30769231,NA,7.2,41031,43956,9.2114842115,20.381690771,99.96319724,17.9,1.3043492072,39,70.40682501750001
Chesapeake City,2014,85.966364999,3.6860494835,28.5,21.3,15.7,86.7192429,15.8,9.7,64950,228417,11.140151565,15.626990627,85.966364999,11.4,3.6860494835,33.4,73.232857808
Colonial Heights City,2014,82.735052553,5.5274364274,27.3,23.2,NA,84.5144357,NA,11.2,51664,17479,19.961096173,24.805071426,82.735052553,11,5.5274364274,NA,55.233832401
Covington City,2014,100,7.7918486458,29.1,26,NA,83.87096774,NA,11.5,36566,5771,18.229076417,22.598546828,100,14.5,7.7918486458,NA,59.172376755
Danville City,2014,73.859017536,6.9894898145,33.2,31.9,10.8,86.31329114,24.2,12.4,30588,42996,19.097125314,21.296135852,73.859017536,23.1,6.9894898145,46.3,59.606738834000005
Emporia City,2014,86.181879534,0.9794957964,33.6,29.9,NA,84.70588235,NA,13.1,32225,5740,16.724738676,22.083449623,86.181879534,26.5,0.9794957964,NA,61.191811701
Fairfax City,2014,100,0,25.1,26.9,16,NA,NA,8.8,86963,23461,14.858701675,24.651567944,100,8.3,0,NA,60.489730380999994
Falls Church City,2014,100,0.0829295866,26.7,22.2,NA,82.4742268,NA,9.5,121250,13229,10.469423237,20.21652956,100,9.3,0.0829295866,NA,69.314047203
Franklin City,2014,41.843393148,22.089783738,34,32.7,NA,87.23404255,16.4,12.3,36078,8528,17.061444653,25.126615768,41.843393148,24.4,22.089783738,NA,57.811939579000004
Fredericksburg City,2014,98.085316643,6.255997575,32.3,24.5,NA,85.51236749,24.4,9,47297,27307,9.6605266049,24.519230769,98.085316643,18.2,6.255997575,NA,65.8202426261
Galax City,2014,71.598977563,1.4729500168,29.9,24.8,NA,89.67254408,NA,10.8,33191,6908,20.092646207,20.954334054,71.598977563,16.2,1.4729500168,NA,58.953019739
Hampton City,2014,93.743269595,5.9387865253,36.5,27,15.6,81.91076625,19.1,12,47206,136836,12.970270981,22.712796757,93.743269595,17.7,5.9387865253,41,64.316932262
Harrisonburg City,2014,83.350370037,3.7787330157,31,23.9,NA,87.28652751,NA,7.3,35489,50981,7.7381769679,22.203952176,83.350370037,18.4,3.7787330157,NA,70.0578708561
