county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Westmoreland,2011,NA,NA,29.8,27.3,13.5,88.0952,22.9,12.5,44383,17686,19.7,19.7,6,50,13.4,NA,60.599999999999994
Wise,2011,NA,NA,31.6,33.1,8.2,87.5,34.3,10.5,32758,41773,14,20.3,0,100,8.2,NA,65.7
Wythe,2011,NA,NA,27.7,26.2,12.1,87.5598,30.1,11.2,38793,28868,18.3,21.4,7,33.3,11.7,NA,60.300000000000004
York,2011,NA,NA,28.1,21.9,14.3,77.4194,10.1,10,78920,61140,12.7,20.7,15,50,13.7,39.4,66.6
Alexandria City,2011,NA,NA,21.3,18.4,21.7,79.2829,16.1,7.4,82487,150006,10.7,25.1,12,75,20.1,33,64.19999999999999
Bedford City,2011,NA,NA,28.4,27.2,NA,85,NA,12.6,36559,6350,24.6,18.3,0,NA,NA,NA,57.10000000000001
Bristol City,2011,NA,NA,25.4,25.4,4.4,85.0932,NA,10.7,33791,17690,23.6,20.3,17,100,4.4,NA,56.10000000000001
Buena Vista City,2011,NA,NA,26.2,24.5,NA,69.2308,NA,10.3,39390,6222,19.6,19.8,16,100,NA,NA,60.60000000000001
Charlottesville City,2011,NA,NA,26,24.8,16.4,84.5161,17.3,8.9,42948,42218,14.1,18.4,24,66.7,13.9,51.8,67.5
Chesapeake City,2011,NA,NA,27.9,23.5,16.9,83.9819,17.3,9.7,67082,222455,10.4,15.9,9,100,16.2,34.1,73.69999999999999
Colonial Heights City,2011,NA,NA,26.9,26.4,NA,77.9141,NA,10.3,51575,17823,19,26,28,100,NA,NA,55
Covington City,2011,NA,NA,27.3,25.4,NA,87.5,NA,11.1,35762,6149,21.6,23.2,16,100,NA,NA,55.2
Danville City,2011,NA,NA,27.8,28.5,15.3,87.5817,25.4,12.9,30696,44400,21.6,19.2,22,100,14.7,58.8,59.2
Emporia City,2011,NA,NA,30.9,30,NA,87.3563,NA,13.4,33717,5635,19.2,21,36,NA,NA,NA,59.8
Fairfax City,2011,NA,NA,26.9,25.9,NA,NA,3.4,9.6,93841,24665,14.3,22.8,66,100,NA,28.7,62.900000000000006
Falls Church City,2011,NA,NA,26.9,25.4,NA,85,NA,10.5,98822,11957,13.7,20.9,44,100,NA,NA,65.4
Franklin City,2011,NA,NA,30.8,28.7,6.8,75.7895,21.6,13,37839,8814,17.4,22.4,11,100,6.8,NA,60.199999999999996
Fredericksburg City,2011,NA,NA,27,24.9,15.5,78.7879,NA,10,45620,23193,15.7,25.5,22,100,14.1,NA,58.8
Galax City,2011,NA,NA,26.4,25.2,NA,85.8209,NA,10.7,31007,6880,20.3,20.4,29,100,NA,NA,59.300000000000004
Hampton City,2011,NA,NA,34.5,26.5,15.7,79.0885,19.4,11.5,47301,144236,11.7,22.8,9,66.7,14.6,32.9,65.5
Harrisonburg City,2011,NA,NA,26.2,22.7,10.5,85.8369,NA,7.7,39049,45137,9.2,22.3,9,66.7,10.4,NA,68.5
Hopewell City,2011,NA,NA,30.9,28.5,16.3,82.9545,34.1,11.8,40560,23123,14.6,16.1,9,100,15.9,NA,69.30000000000001
Lexington City,2011,NA,NA,26.7,24.6,NA,NA,NA,9.7,39582,6901,19.1,26.2,29,100,NA,NA,54.7
Lynchburg City,2011,NA,NA,29.1,28.1,17.9,84.9237,22.4,11.3,39440,73933,16.7,9.8,18,100,16,49.6,73.5
Manassas City,2011,NA,NA,27,24.6,NA,85.8824,NA,10.4,68544,36514,9.5,20.2,17,100,8.3,NA,70.3
Manassas Park City,2011,NA,NA,28.3,24,NA,80.303,NA,8.8,70051,12042,7,28.8,0,NA,NA,NA,64.2
Martinsville City,2011,NA,NA,30,29,NA,84.2342,NA,13.2,30802,14635,23.6,30.2,27,100,NA,75.2,46.2
Newport News City,2011,NA,NA,29.7,28.9,19.4,78.8207,23.7,9.9,48849,193172,11,22.1,9,87.5,18.2,33.5,66.9
Norfolk City,2011,NA,NA,30.6,25.6,18.8,72.1585,24,10.4,40380,233333,9.9,25.6,9,68.8,16.9,48.6,64.5
Norton City,2011,NA,NA,26.6,25,NA,79.5918,NA,10.3,28398,3713,16.8,23.4,27,100,NA,NA,59.800000000000004
Petersburg City,2011,NA,NA,34.3,31.8,12,79.8479,26.6,14.8,35359,32986,16.5,20,6,100,10,NA,63.5
Poquoson City,2011,NA,NA,26.4,22.8,NA,89.4737,NA,10.1,79123,11794,16.8,24.3,8,100,NA,NA,58.900000000000006
Portsmouth City,2011,NA,NA,32.5,29.3,12.6,82.2294,22.6,12.5,45292,99321,12.7,23.9,4,57.1,11.7,53.3,63.4
Radford City,2011,NA,NA,25.7,21.9,12.6,87.5,NA,7.7,35516,16184,10.6,24.1,19,100,12,NA,65.30000000000001
Richmond City,2011,NA,NA,29.4,26.7,19.4,79.9514,21.5,12.7,36968,204451,14.7,12,5,77.8,16.2,38.3,73.3
Roanoke City,2011,NA,NA,30.8,26.4,13.8,82.1705,26.7,11.7,37029,94482,17.3,20.2,15,85.7,12.4,54.8,62.5
Salem City,2011,NA,NA,26.7,22.7,13.2,85.5372,26.2,9.9,45690,25462,17.2,21.1,12,100,11.7,NA,61.699999999999996
Staunton City,2011,NA,NA,26.5,25.6,NA,87.2852,NA,11.2,42794,23886,21.5,19.9,25,100,NA,46.2,58.6
