fips,county,year,population,x18,x65_and_over,african_american,american_indian_alaskan_native,asian,native_hawaiian_other_pacific_islander,hispanic,percent_not_proficient_in_english,female,rural,diabetes,physical_inactivity.x,percent_high_housing_costs,percent_free_lunch,percent_drive_alone,percent_diabetic,percent_illiterate,zip_codes_with_healthy_foods,number_zip_codes.x,percent_healthy_foods,percent_park_access,percent_food_insecure,number_limited_access.x,percent_limited_access.x,percent_asian,number_food_insecure,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_insufficient_sleep,segregation_index,segregation_index_2,percent_free_or_reduced_lunch,percent_limited_access_to_healthy_foods,deaths,ypll_rate,percent_fair_poor,physically_unhealthy_days,mentally_unhealthy_days,percent_lbw,percent_smokers,percent_obese,percent_excessive_drinking,sti_cases,rates_per_100_000,teen_births,percent_uninsured,pcp_no,no_of_medicare_enrollees,acsc_rate,percent_hb_a1c,mammography_rate,afgr,psed,percent_unemployed,percent_children_in_poverty,percent_no_social_emotional_support,percent_single_parent_households,violent_crimes,pm_days,ozone_days,zip_codes_with_healthy_food,number_zip_codes.y,percent_healthy_food,rec_facs,rec_fac_rate,physical_inactivity.y,motor_vehicle_deaths,number_pcp,number_medicare_enrollees,number_diabetics,number_households,number_limited_access.y,percent_limited_access.y,number_fast_foods,percent_fast_foods,live_births,percent_physically_inactive,dentist_ratio,percent_mammography,percent_some_college,annual_violent_crimes,average_daily_pm25,percent_pop_in_viol,number_rec_facilities,rec_facility_rate,food_environment_index,percent_with_access,percent_alcohol_impaired,mhp_ratio,graduation_rate,injury_deaths,number_household_with_severe_problems,percent_severe_housing_problems,number_deaths,number_live_births,number_primary_care_physicians,number_mental_health_providers,preventable_hosp_rate,percent_receiving_hb_a1c,number_associations,number_violent_crimes,number_injury_deaths,presence_of_violation
51041,Chesterfield,2011,306670,26.5,8,22.2,0.4,3.3,0.1,6.2,4.1,50.9,10.5,8.6,21.4,29.3,13.2,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2567,5849.4,12.6,2.7,3.3,7.91,18.1,27.3,14.9,1074,353.9,1682,15.5,339,51995,50.7216,88.9289,65.2126,85,68,6.6,8.1,17.4,26.5,2037,2,4,8,12,66.7,38,13,NA,NA,NA,NA,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51043,Clarke,2011,14588,21.2,16.2,6.2,0.2,0.9,0,3.9,2.9,50.1,76.5,10.3,22.6,27.8,11,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,6524.9,15.4,2.9,4.4,6.75,13.5,26.3,13.5,27,186.7,77,16.3,7,4090,87.6857,90.625,52.459,95,54.9,6.1,9.4,NA,22.5,74,0,1,2,5,40,1,7,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51045,Craig,2011,4969,20.4,15.9,0.6,0.2,0.2,0,0.4,0.6,49,100,9.5,24.5,18.9,25.2,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,7106.9,19,5.5,2.3,NA,12.1,26,NA,5,98.3,27,20.1,1,1163,90.8529,75.7576,86.3636,70,34.9,7.2,17.1,NA,19.7,17,0,0,2,2,100,0,0,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51047,Culpeper,2011,46502,25.9,11.7,16.8,0.3,1.7,0,8,3.7,49.1,72.2,9.1,24.3,40,26.8,76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,7661.3,14.3,4.2,2.8,8.32,21.2,28.8,14.5,142,307.3,381,20.4,20,9096,67.4961,88.2353,65.4088,85,49.4,8.1,11.1,20.9,20.7,275,0,1,3,13,23.1,5,11,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51049,Cumberland,2011,9757,22.1,16.3,34,0.2,0.6,0,2.4,0,51.9,96.1,11.6,27.4,36.9,48.1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,8357.2,19.3,4.8,3,11.61,NA,30.7,NA,36,372.3,95,20.1,2,7863,70.1231,88.0682,69.2308,80,33.3,7.2,22.9,13.2,34.1,51,2,0,1,2,50,0,0,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51051,Dickenson,2011,16087,20.4,16.3,1.4,0.1,0.1,0,0.6,0.2,50.5,100,10.5,29.3,23.7,40.7,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,10972.4,31.2,7.9,6,7.95,36.5,29.4,6.1,18,109.7,154,16,6,4524,186.161,83.3333,48.75,70,37.4,9,29,NA,33.3,79,0,0,3,7,42.9,0,0,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51053,Dinwiddie,2011,26338,22.2,11.7,32.1,0.2,0.6,0,1.7,0.9,50.8,73.8,11.6,25.2,26.1,34,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,9085,18.3,4,3.8,9.25,35.2,31.2,14.2,129,494.6,232,15.1,4,4417,66.8121,79.5775,62.1622,55,50,7.9,14.9,26.8,40,165,2,0,3,8,37.5,2,8,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51057,Essex,2011,11189,21.5,18,38.4,0.5,1.1,0,1.4,0.6,52.6,79.8,12.8,29.9,31.9,55.7,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,9368.7,12.9,2.4,2.9,10.3,NA,31.3,8.3,64,577,102,17.9,4,3317,56.8351,84.5361,66.1017,60,48.9,8.2,20.5,NA,40.4,67,1,3,1,8,12.5,4,36,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51059,Fairfax,2011,1037605,24.9,9.8,9.7,0.4,16.5,0.1,15.1,14.5,50.4,1.4,7.8,18.9,34.2,15.9,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5546,3832.7,7.7,2.2,2.2,6.71,12.5,22.7,18.4,1467,144.5,3926,17.5,1338,166722,44.1975,83.1078,60.5903,85,78.4,4.7,6.4,16.2,17.7,2624,4,27,38,46,82.6,128,13,NA,NA,NA,NA,2291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51061,Fauquier,2011,68010,25.1,11.7,9.1,0.2,1.6,0.1,6,2.7,50.2,72.6,9.5,22.4,34.4,15.6,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,6271.7,11.6,3,3.4,6.49,19.7,26.4,14.5,120,179.5,408,17.7,36,13150,63.7813,85.8824,49.2891,90,59.2,5.3,7.3,16.5,18.5,285,0,4,6,15,40,10,15,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
